research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,overall,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,claims,83,75,90,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,adv_knowledge,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,methods,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,logic_comms,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,open_sci,83,75,90,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,real_world,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,gp_relevance,88,80,95,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,merits_journal,4.3,3.5,5,,2025-08-19T05:57:43.863-04:00
Misperceptions and Demand for Democracy under Authoritarianism,Evaluator 2,journal_predict,4.3,3.5,5,,2025-08-19T05:57:43.863-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,overall,65,60,80,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,claims,60,50,70,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,adv_knowledge,30,20,50,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,methods,70,50,80,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,logic_comms,60,50,75,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,open_sci,90,80,100,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,real_world,40,30,50,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,gp_relevance,40,30,50,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,merits_journal,4.1,3.4,4.4,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Evaluator 2,journal_predict,4,4,4,,2025-08-19T05:51:14.453-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,overall,77,56,94,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,claims,79,64,93,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,adv_knowledge,86,76,93,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,methods,71,55,91,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,logic_comms,82,73,93,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,open_sci,90,84,95,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,real_world,90,84,96,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,gp_relevance,90,84,96,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,merits_journal,4.6,4.5,5,,2025-08-19T05:44:08.294-04:00
Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,journal_predict,4.7,4.3,5,,2025-08-19T05:44:08.294-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,overall,75,60,80,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,claims,60,50,70,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,adv_knowledge,60,50,70,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,methods,40,30,50,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,logic_comms,80,70,90,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,open_sci,70,60,80,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,real_world,90,80,100,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,gp_relevance,90,80,100,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,merits_journal,3.5,3,4,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,journal_predict,4,3.5,4.5,,2025-08-19T05:38:56.704-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,overall,39,14,62,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,claims,59,30,85,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,adv_knowledge,50,5,95,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,methods,25,10,43,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,logic_comms,40,19,65,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,open_sci,91,86,100,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,real_world,88,45,93,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,gp_relevance,88,45,93,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,merits_journal,1.1,0.4,1.9,,2025-08-19T05:32:05.127-04:00
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,journal_predict,3.2,2.3,4.1,,2025-08-19T05:32:05.127-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,overall,51,35,65,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,claims,20,5,40,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,adv_knowledge,85,75,95,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,methods,55,35,75,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,logic_comms,70,55,85,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,open_sci,100,100,100,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,real_world,95,89,100,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,gp_relevance,95,89,100,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,merits_journal,2,1,3,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,journal_predict,2,1,3,,2025-08-19T05:27:50.812-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,overall,30,10,50,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,claims,70,50,90,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,adv_knowledge,25,10,40,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,methods,70,60,90,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,logic_comms,80,70,90,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,open_sci,100,100,100,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,real_world,35,20,70,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,gp_relevance,35,20,70,,2025-08-19T05:18:20.572-04:00
Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,merits_journal,2.5,1.5,3.1,,2025-08-19T05:18:20.572-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,overall,85,75,95,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,claims,85,75,95,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,adv_knowledge,90,85,95,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,methods,90,85,95,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,logic_comms,85,80,90,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,open_sci,90,85,95,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,real_world,95,90,97,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,gp_relevance,95,90,97,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,merits_journal,4.2,,,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,journal_predict,3.5,,,,2025-08-19T05:13:16.129-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,overall,87,84,90,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,claims,93,90,96,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,adv_knowledge,85,75,90,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,methods,85,80,90,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,logic_comms,74,70,85,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,open_sci,76,66,80,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,real_world,91,89,93,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,gp_relevance,91,89,93,,2025-08-19T05:04:25.697-04:00
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,merits_journal,4.2,3.5,4.4,,2025-08-19T05:04:25.697-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,overall,64,58,70,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,claims,57,44,70,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,adv_knowledge,46,42,50,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,methods,36,28,44,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,logic_comms,68,62,70,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,open_sci,65,62,74,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,real_world,67,62,71,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,gp_relevance,67,62,71,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,merits_journal,2.8,2.4,3.2,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Evaluator 1,journal_predict,3.6,3.1,4.1,,2025-08-19T05:00:50.896-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,overall,75,75,87,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,claims,80,80,90,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,adv_knowledge,90,90,95,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,methods,80,80,90,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,logic_comms,65,65,83,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,open_sci,85,75,85,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,real_world,72,72,88,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,gp_relevance,72,72,88,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,merits_journal,4,3.5,4.8,,2025-08-19T04:54:57.946-04:00
The Effect of Public Science on Corporate R&D,Ioannis Bournakis,journal_predict,4.2,4,5,,2025-08-19T04:54:57.946-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,overall,80,70,90,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,claims,82,74,90,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,adv_knowledge,85,78,92,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,methods,85,78,92,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,logic_comms,80,71,89,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,open_sci,90,85,95,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,real_world,80,70,90,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,gp_relevance,80,70,90,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,merits_journal,4.5,4,5,,2025-06-05T12:58:51.309-04:00
Adaptability and the Pivot Penalty in Science,Evaluator 1,journal_predict,4.5,4,5,,2025-06-05T12:58:51.309-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,overall,90,85,94,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,claims,85,80,90,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,adv_knowledge,86,80,90,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,methods,85,75,95,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,logic_comms,90,80,95,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,open_sci,80,75,90,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,real_world,90,85,96,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,gp_relevance,90,85,96,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,merits_journal,4.9,4.7,5,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,journal_predict,5,4.3,5,,2025-06-05T12:52:29.541-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,overall,91,78,94,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,claims,96,93,100,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,adv_knowledge,93,90,95,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,methods,89,79,95,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,logic_comms,80,74,86,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,open_sci,65,60,70,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,real_world,93,90,96,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,gp_relevance,93,90,96,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,merits_journal,4,3.9,4.3,,2025-06-05T12:44:23.679-04:00
"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,journal_predict,4,3.9,4.1,,2025-06-05T12:44:23.679-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,overall,75,60,80,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,claims,75,60,80,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,adv_knowledge,80,75,90,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,methods,60,50,70,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,logic_comms,45,35,55,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,open_sci,30,15,45,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,real_world,80,75,89,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,gp_relevance,80,75,89,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,merits_journal,4,2.5,4.5,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,journal_predict,3.5,2.5,4,,2025-06-05T12:35:29.583-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,overall,70,50,90,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,claims,56,45,61,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,adv_knowledge,72,66,84,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,methods,76,68,85,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,logic_comms,55,45,70,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,open_sci,65,50,79,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,real_world,50,40,60,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,gp_relevance,50,40,60,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,merits_journal,3.8,3,4.1,,2025-06-05T12:30:16.116-04:00
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,journal_predict,3.9,3.5,4.3,,2025-06-05T12:30:16.116-04:00
Towards best practices in AGI safety and governance,Evaluator 2,overall,75,65,85,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,claims,80,70,90,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,adv_knowledge,70,60,80,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,methods,70,60,80,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,logic_comms,80,70,90,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,open_sci,80,70,90,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,real_world,70,60,80,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 2,gp_relevance,70,60,80,,2025-06-05T11:59:10.367-04:00
Towards best practices in AGI safety and governance,Evaluator 1,overall,70,60,80,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,claims,70,65,75,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,adv_knowledge,80,75,85,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,methods,70,65,75,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,logic_comms,85,80,90,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,open_sci,65,50,80,,2025-06-05T11:52:44.618-04:00
Towards best practices in AGI safety and governance,Evaluator 1,real_world,90,80,100,,2025-06-05T11:52:44.618-04:00
