paper,metric,midpoint,lower_bound,upper_bound,rationale
Alatas et al. 2019,methods,89.0,84.0,93.0,Thoughtful experimental design exploiting Twitter mechanics; within-celebrity randomization; Poisson models; clustering; fixed effects; forced-retweet checks; randomized phases with RI. Some risks: survey selection; self-reported network outcomes.
Alatas et al. 2019,advancing_knowledge,84.0,78.0,89.0,Separates endorsement from reach at scale; policy-relevant insights on sources and exposure shape. Advances diffusion literature with causal influencer evidence. Offline effects modest but informative.
Alatas et al. 2019,logic_communication,86.0,81.0,90.0,"Clear motivation, design schematics, transparent assumptions, limitations, and theory appendix. Results tied to questions; figures/tables support claims. Dense but coherent."
Alatas et al. 2019,open_science,55.0,40.0,70.0,"Trial preregistered; IRB noted. However, no clear public release of data/code in text; Twitter data access constraints. Moderate reproducibility given design clarity but limited raw data availability."
Alatas et al. 2019,global_relevance,83.0,76.0,88.0,Public health messaging in LMIC; vaccination salience is high. Practical insights for campaigns. Generalizability to other platforms/contexts plausible but not guaranteed.
Alcott et al. 2024,overall,92.0,85.0,97.0,"Innovative sufficient-statistics welfare framework for nudges with endogenous prices and taxes, plus two incentivized experiments estimating key heterogeneity moments. Strong theory-methods integration; careful discussion of limits. External validity and measurement assumptions temper confidence slightly."
Alcott et al. 2024,claims_evidence,89.0,82.0,94.0,"Core claims are precise: welfare depends on average effects, variance, and targeting; average effects can be irrelevant with zero pass-through/optimal taxes. Evidence supports this via RCTs and structural sufficient statistics. Limits: artefactual designs, proxy-based bias in SSB, normality/measurement error assumptions."
Alcott et al. 2024,methods,91.0,84.0,95.0,"Clear welfare derivations, use of Weyl-Fabinger pass-through, mixed-effects estimation of ATE, variance, covariances; pass-through and markup handled via literature. Robustness, alternative specs, and appendices are solid. Key assumptions (normality, bias measurement, linearity) are acknowledged but nontrivial."
Alcott et al. 2024,advancing_knowledge,93.0,86.0,97.0,Shifts evaluation of nudges from average effects to distortion variance/targeting within a portable public finance framework. Offers practical sufficient statistics and shows conditions where nudges can reduce welfare. Likely to influence behavioral public finance and policy appraisal.
Alcott et al. 2024,logic_communication,92.0,86.0,96.0,"Clear setup, motivating examples, formal propositions, and transparent mapping to empirics. Figures/tables elucidate tradeoffs. Caveats and limitations are explicitly discussed; reasoning is coherent and consistent with results."
Alcott et al. 2024,open_science,81.0,72.0,89.0,Pre-registered trials; replication files reportedly available; extensive appendices. No full pre-analysis plan due to structural focus; some data sources proprietary/panel recruitment. Overall good transparency and reproducibility.
Alcott et al. 2024,global_relevance,87.0,79.0,93.0,"Direct relevance to labeling/nudge policies (fuel economy, SSB), taxation, and market power—topics of broad policy interest. Provides actionable guidance on when nudges help or hurt. Generalizability beyond experiments is limited but insights are widely applicable."
Angrist et al. 2023,overall,92.0,86.0,97.0,"Multi-country RCTs across five LMICs; large, policy-relevant effects (0.30–0.35 SD pooled; up to 0.89). Strong external validity via diverse contexts and gov/NGO arms; careful assessment validity checks; compelling cost-effectiveness. Minor caveats: heterogeneity in SMS arm, some cluster-level randomization complexities."
Angrist et al. 2023,claims_evidence,90.0,85.0,95.0,"Claims are clear and tied to preregistered-style RCT logic; multiple robustness checks, pooling and country analyses, and typhoon quasi-experiment. Well-bounded claims on scalability and gov delivery. Some limits: duration short; learning outcomes primarily numeracy; longer-term persistence not shown."
Angrist et al. 2023,methods,88.0,82.0,94.0,"Appropriate randomization, blocking, clustering, multiple contexts; careful measurement QA for phone assessments; ITT focus; heterogeneity, balance, attrition checks. Some arms randomized at clusters with low ICC; limited multiplicity adjustments; cost methods summarized but not fully granular."
Angrist et al. 2023,advancing_knowledge,93.0,88.0,98.0,"Addresses key gap in education-in-emergencies with rare multi-country RCTs and gov vs NGO implementation test. Demonstrates scalable, cost-effective tutoring via phones, and teacher practice/belief spillovers. Adds evidence on remote assessment validity and LAYS-based benchmarking."
Angrist et al. 2023,logic_communication,90.0,84.0,95.0,"Clear motivation, design, and interpretation; consistent linkage from evidence to conclusions; visuals and tables communicate well; limitations noted. Dense in places; some cost-effectiveness assumptions condensed; could streamline presentation of multiple outcomes."
Angrist et al. 2023,open_science,62.0,45.0,75.0,"NBER working paper with extensive methodological detail and appendices. However, it’s unclear if deidentified data, code, and instruments are fully public. Monitoring tools described but not evidently deposited. Moderate replicability; could improve with full data/code release."
Angrist et al. 2023,global_relevance,95.0,90.0,99.0,"High policy salience for LMICs facing frequent shocks; results span five countries, multiple languages, gov systems; strong cost-effectiveness and practicality for scale. Directly informs donors and ministries on resilient delivery during closures and beyond."
Arora et al. 2023,overall,86.0,80.0,91.0,"Ambitious, well-identified firm-level study linking agency budget shocks to three channels of public science. Strong datasets, careful IV strategy, extensive robustness and heterogeneity. Clear, policy-relevant findings. Minor limits: U.S.-centric, complex instruments require assumptions; some constructs depend on proprietary/assembled data."
Arora et al. 2023,claims_evidence,88.0,82.0,92.0,"Core claims are explicit and matched to evidence across patents, publications, scientists, R&D, and value. Multiple IVs, first-stage strength, alternative measures, and Poisson CF bolster credibility. Some residual concerns about exclusion restrictions and exposure share stability remain but are addressed."
Arora et al. 2023,methods,90.0,84.0,94.0,"Innovative shift-share IVs predicted by subcommittee composition; granular exposure using SPECTER and bibliometrics; firm and year FE; many robustness and heterogeneity checks. Assumptions (political instruments exogeneity, mapping accuracies) are discussed and partially validated."
Arora et al. 2023,advancing_knowledge,84.0,77.0,90.0,"Clarifies roles of publications, people, and university patents on corporate R&D with novel identification and data. Challenges standard spillover narratives; practical insights for science policy and corporate strategy. Strong contribution to innovation/IO and management of science."
Arora et al. 2023,logic_communication,85.0,79.0,90.0,"Clear conceptual framework, transparent derivations, tables and appendices well-structured. Long and dense, but argument flows logically and links theory to empirics carefully. Minor complexity could hinder accessibility to non-specialists."
Arora et al. 2023,open_science,66.0,58.0,74.0,"Uses external datasets (Dimensions, PatentsView, PQDT); mentions availability of DISCERN/Zenodo resource. However, full replication may be hard due to proprietary/licensed data, complex matching, and unclear code release. Good methodological detail but limited full reproducibility."
Arora et al. 2023,global_relevance,75.0,67.0,83.0,"High relevance for R&D and science policy; insights on universities, startups, incumbents. Identification uses U.S. political process; results strongest for U.S. context and life sciences. Concepts generalize, but policy levers and magnitudes may vary internationally."
Bahar et al. 2022,overall,90.0,84.0,95.0,"Large-N admin data, clear identification exploiting batch thresholds and weather-induced timing noise; strong first-stage and robustness. Substantive, policy-relevant results with careful heterogeneity and panel checks. Some residual concerns about instrument construction and assumptions, but overall highly convincing."
Bahar et al. 2022,claims_evidence,88.0,82.0,93.0,"Main claims are specific and matched to evidence. Placebos, balance, time dynamics, and heterogeneity support interpretation. Potential alternative channels are discussed. Remaining risks: instrument validity relies on rain permutations and mapping to census numbers."
Bahar et al. 2022,methods,87.0,80.0,92.0,"Innovative RVI/RD-IV framework, clear design, good first-stage strength, panel DiD corroboration, extensive FE and controls. Assumptions (local weather exogeneity, mapping model) are plausible but complex; limited formal sensitivity to alternative weather models."
Bahar et al. 2022,advancing_knowledge,85.0,78.0,91.0,New evidence on legalization’s impact on entrepreneurship in LMIC context and a methodological extension for RD with noisy running variables. Offers actionable insights for migration policy; complements literature on legalization impacts beyond labor markets.
Bahar et al. 2022,logic_communication,86.0,80.0,92.0,"Well-structured narrative, clearly explains policy, data, and identification. Figures and tables align with arguments. Some technical sections dense but generally transparent about assumptions and limitations."
Bahar et al. 2022,open_science,55.0,40.0,70.0,"Uses confidential administrative data and proprietary weather data; replication may be constrained. Methods are well-described, but no explicit mention of code/data release or preregistration. Some openness via detailed appendix."
Bahar et al. 2022,global_relevance,92.0,86.0,97.0,"Directly relevant to migration regularization policies in emerging economies; clear implications for entrepreneurship, formalization, and integration. Findings likely generalizable to similar contexts and useful for policymakers."
Banerjee et al 2022,overall,92.0,88.0,96.0,"Ambitious factorial RCT with novel TVA method; strong empirical execution, clear winner’s-curse adjustment, and policy relevance. Large sample, careful design, convincing results. Minor caveats on external validity and some assumptions for selection consistency."
Banerjee et al 2022,claims_evidence,90.0,86.0,95.0,"Core claims (TVA, identification of best bundles, cost-effectiveness) are well-defined and supported by pre-specified design, large-scale data, robustness checks, and winner’s-curse correction. Remaining risks: model-selection assumptions and finite-sample sensitivities."
Banerjee et al 2022,methods,93.0,89.0,97.0,"Methodological contribution (TVA, Puffer-LASSO, post-selection OLS, asymptotics) is rigorous; simulations extensive; adjustment for multiple comparisons is principled. Assumptions (beta-min, homoskedasticity) and irrepresentability handling are discussed but still somewhat strong."
Banerjee et al 2022,advancing_knowledge,88.0,83.0,93.0,Advances design/analysis for complex policy bundles and shows complementarities in immunization nudges. Provides a practical path to select scalable policies. Value both for econometrics of experiments and applied health policy.
Banerjee et al 2022,logic_communication,90.0,86.0,94.0,"Clear problem framing, lattice intuition, algorithm steps, and link from theory to practice. Figures/tables aid understanding. Length and technical density may challenge some readers but reasoning is coherent."
Banerjee et al 2022,open_science,80.0,72.0,88.0,Design and procedure are well-documented; simulations described; implementation details and appendices substantial. Full replication packages/data availability are not fully evident from text; admin data access may be restricted.
Banerjee et al 2022,global_relevance,89.0,84.0,94.0,"High policy relevance for immunization and for any multi-arm, multi-dose policy selection. Direct implications for LMIC health programs and beyond; quantified impacts and costs provided."
Banerjee et al. 2022,overall,92.0,88.0,96.0,"Innovative TVA method for high-dimensional policy selection plus a large, policy-relevant RCT on immunization. Strong design, careful post-selection inference (winner’s curse), extensive simulations, and clear applied results. Some dependence on assumptions; complexity may limit accessibility."
Banerjee et al. 2022,claims_evidence,90.0,85.0,95.0,"Main questions and claims are explicit (identify best and most cost-effective bundles). Evidence from a 915-village RCT, pre-specified logic, and robust adjustments. Minor concerns: finite-sample nuances and reliance on modeling choices for selection/penalties."
Banerjee et al. 2022,methods,93.0,89.0,97.0,"Methodological contribution (TVA) with LASSO preconditioning, support recovery, post-selection OLS, and hybrid CIs. Theory, proofs, and rich simulations. Assumptions (beta-min, homoskedasticity) and complexity are limitations but well-discussed."
Banerjee et al. 2022,advancing_knowledge,88.0,82.0,93.0,Advances design/analysis for factorial policy bundles and shows complementarities in practice. Offers a template for applied work beyond this context. Impactful but dependent on settings where TVA assumptions are tenable.
Banerjee et al. 2022,logic_communication,91.0,86.0,95.0,"Clear articulation of problem, TVA steps, assumptions, and policy interpretation. Figures/tables helpful; appendices thorough. Dense technical sections may challenge non-specialists."
Banerjee et al. 2022,open_science,72.0,60.0,83.0,"ArXiv availability, extensive appendices, algorithms and simulation details. Full replication materials and data access less clear (sensitive admin data). Method description likely sufficient for reimplementation."
Banerjee et al. 2022,global_relevance,94.0,90.0,98.0,Childhood immunization uptake is a major global priority. Results give implementable guidance (incentives+information hubs+SMS; cost-effective variant). Lessons generalize to other multi-arm policy choices.
Banerjee et al. 2023,overall,93.0,88.0,97.0,"Large, well-executed village-level RCT on UBI with strong design, high compliance, high response rates, careful econ analysis, and meaningful, policy-relevant results. Clear contrasts across LT/ST/LS and theorized mechanisms. Minor limitations: early-wave results, some imprecision for prices/spillovers."
Banerjee et al. 2023,claims_evidence,92.0,87.0,96.0,"Claims closely match evidence: preregistered outcomes, extensive robustness, clear ITT focus, transparent power limits for cross-arm differences. Strong first-stage/compliance and balance. Some outcomes noisy (prices, some assets), but characterization cautious."
Banerjee et al. 2023,methods,91.0,86.0,95.0,"Stratified cluster randomization, village-level aggregation, Conley SEs, migrant tracking, multiple data sources. Thoughtful theory to interpret mechanisms. Limits: limited power for arm-vs-arm, early measurement point, some self-assessed asset values."
Banerjee et al. 2023,advancing_knowledge,95.0,91.0,98.0,"First large-scale experimental evidence on LT UBI vs short-term streams vs lump-sum with GE features. Novel insights on occupational shifts, enterprise expansion, and tranching. High impact for social protection design in LMICs."
Banerjee et al. 2023,logic_communication,90.0,85.0,94.0,"Clear setup, motivation, framework, and presentation. Results tie back to hypotheses; limitations discussed. Dense in places but overall rigorous and coherent."
Banerjee et al. 2023,open_science,72.0,55.0,85.0,Pre-analysis plan and detailed appendices; methods transparent. Data/code availability not fully evident in text; some admin data proprietary. Good but not exemplary reproducibility.
Banerjee et al. 2023,global_relevance,95.0,90.0,98.0,"Direct relevance to cash transfer policy, UBI design, and poverty programs in LMICs; findings on tranching and duration highly actionable for donors and governments."
Barberio et al. 2022,overall,85.0,78.0,90.0,"Timely and rigorous simulation of vaccine megafund economics with clear policy implications. Solid calibration, extensive sensitivity analysis, and transparent limitations. Some assumptions (price, outbreak processes, correlation metric) are stylized, but conclusions are carefully qualified."
Barberio et al. 2022,claims_evidence,82.0,75.0,88.0,"Core claims are explicit: diversified mRNA vaccine portfolios are unlikely to be privately profitable without public support; price per dose dominates. Evidence via Monte Carlo with sensitivity checks. Reliant on parameter assumptions and expert input; no empirical validation, but characterization is honest."
Barberio et al. 2022,methods,80.0,72.0,86.0,"Appropriate stochastic portfolio model, correlated Bernoulli generation, cost structures, and outbreak modeling. Sensitivity spans key drivers. Correlation construction is heuristic; demand and competitive dynamics simplified; no code audit presented. Still strong for policy-simulation standards."
Barberio et al. 2022,advancing_knowledge,83.0,75.0,90.0,Clarifies why EID vaccine portfolios face poor private returns even with mRNA and diversification; quantifies subsidy/pricing thresholds and trial cost shares. Extends prior megafund work with richer revenue/outbreak modeling. Useful for funders and policymakers.
Barberio et al. 2022,logic_communication,86.0,80.0,92.0,"Clear narrative, explicit assumptions, modular framework, and consistent conclusions. Figures/tables support claims; limitations and policy levers are well discussed. Minor complexity in correlation metric could use more validation detail."
Barberio et al. 2022,open_science,55.0,40.0,70.0,"Model structure and parameters are documented with supplements, but no public code/data repository is evident. Reproducibility would benefit from shared simulation code and input files; otherwise reasonably described for conceptual replication."
Barberio et al. 2022,global_relevance,92.0,85.0,97.0,"High relevance to pandemic preparedness, vaccine financing, and public-private partnership design. Direct implications for pricing, AMCs, stockpiling, and portfolio strategy across EIDs. Broad applicability across income settings."
Barker et al. 2021,overall,86.0,80.0,91.0,"Large, well-executed RCT on CBT in rural Ghana; clear positive effects on mental/physical health, socioemotional skills, and short-run economic proxies. Careful RI inference and heterogeneity via LASSO. Limitations: short follow-up (2–3 months), reliance on self-reports, external validity and durability uncertain."
Barker et al. 2021,claims_evidence,84.0,78.0,90.0,"Claims are specific and matched to measured outcomes; heterogeneity framed carefully. Evidence strong for short-run indices with RI p-values. Less certain on long-run or hard economic outcomes. No overreach on durability, but some mechanistic claims (bandwidth) rest on proxy measures."
Barker et al. 2021,methods,85.0,80.0,90.0,"Multi-stage randomization with rerandomization for balance, RI, pre-specified indices, multiplicity awareness; LASSO with sample-splitting for heterogeneity. Potential concerns: self-report bias, partial reliance on index construction, short horizon; but overall methodological rigor is high."
Barker et al. 2021,advancing_knowledge,82.0,75.0,88.0,"Shifts CBT from targeted clinical groups to general poor populations; links therapy to human capital and bandwidth. Contrasts with nulls in Kenya study by intensity/timing. Valuable practical insight, but impact persistence unknown; economic outcomes are proximate, not income/productivity."
Barker et al. 2021,logic_communication,88.0,83.0,93.0,"Clear theory of change (vulnerability + bandwidth), transparent design, thorough appendix and ethics. Results presented with RI and heterogeneity carefully explained. Minor risk of narrative over-interpretation on mechanisms, but generally well argued and consistent."
Barker et al. 2021,open_science,65.0,55.0,75.0,"NBER WP with detailed methods, curriculum manual available and structured ethics appendix. Data/code availability not clearly provided at WP stage; replication materials uncertain. Manualization aids replication of intervention, but full open materials not evident."
Barker et al. 2021,global_relevance,90.0,84.0,95.0,"High policy relevance for LMICs: scalable group CBT by lay counselors, mental health as SDG, potential to integrate with service schemes. Useful near-term effect sizes for practitioners. Main caveat is unknown long-term persistence and cost-effectiveness over time."
Benabou et al. 2023,overall,88.0,82.0,93.0,"Strong multi-game experimental design, preregistered hypotheses, novel real-stakes trolley implementation, and clear, policy-relevant insights. Some limits: student-heavy sample, mostly online stakes, context-specificity complicates external validity. Nonetheless, rigor and clarity place it near top of recent behavioral/moral econ."
Benabou et al. 2023,claims_evidence,86.0,80.0,92.0,"Core claims—prevalence of deontological choices, low cross-situation consistency, weak trolley predictiveness, orthogonality to prosociality—are well supported by within-subject design, aligned variants, attention checks, and robustness. Effect sizes and multiple comparisons are handled reasonably; remaining threats modest."
Benabou et al. 2023,methods,84.0,78.0,90.0,"Well-justified tasks, preregistration, comprehension checks, aligned treatments, and robustness analyses. Innovative SAL paradigm. Constraints: student/online sample, moderate stakes/10% implementation in SAL, some binary outcomes, limited structural modeling, and generalizability across cultures/contexts."
Benabou et al. 2023,advancing_knowledge,85.0,79.0,91.0,"Introduces flexible ends-versus-means paradigm, real-stakes trolley, and documents key null of trait-like stability. Clarifies limits of trolley as predictor and separability from SVO. Likely to shape future experimental and theoretical work on moral decision-making."
Benabou et al. 2023,logic_communication,89.0,84.0,94.0,"Clear research questions, consistent logic from design to inference, transparent reporting, figures and matrices aid interpretation. Caveats and robustness well laid out. Minor density in appendices but overall excellent exposition."
Benabou et al. 2023,open_science,78.0,70.0,86.0,"Preregistration and ethics approvals stated; clear procedures and attention checks. Data/code availability not explicit in provided text; if later shared, score would rise. Overall good transparency but uncertain replication package."
Benabou et al. 2023,global_relevance,80.0,73.0,87.0,"Findings matter for AI, public policy, and applied ethics by showing context-dependence in ends-versus-means choices and limits of trolley generalization. Immediate policy prescriptions limited; population and context may constrain direct transfer."
Benjamin et al. 2023,overall,89.0,82.0,94.0,"Strong, rigorous framework for correcting SWB scale-use heterogeneity; multiple estimators, simulations, and applications. Clear impact on key SWB results (means, regressions, variances). Well-argued assumptions and diagnostics. Limitations: MTurk sample, reliance on CQs and linearity/consistency assumptions."
Benjamin et al. 2023,claims_evidence,87.0,80.0,92.0,"Claims are precise (general vs dimensional scale use, shifter/stretcher model). Evidence includes theory, CQ and SWB data, MLE and semi-parametric estimators, simulations, and validations (objective vs subjective). Some assumptions remain untestable; vignette biases acknowledged."
Benjamin et al. 2023,methods,92.0,88.0,96.0,"Methodologically sophisticated: clear identification via CQs, linear translation framework, MOM/semi-parametric/MLE estimators, bias formulas, bootstrap SEs, robustness simulations, persistence analysis. Careful treatment of error structure. Assumption burden noted."
Benjamin et al. 2023,advancing_knowledge,88.0,80.0,93.0,"Provides practical, generalizable toolkit for SWB research; clarifies when adjustments matter; large variance corrections; guidance for practitioners and future surveys. Bridges literatures on response styles and SWB. Implications for experiments and inequality measures."
Benjamin et al. 2023,logic_communication,86.0,80.0,91.0,"Well-structured exposition from motivation to theory, estimation, applications, and caveats. Clear definitions (height, MMB), transparent derivations, and limitations. Dense in places; some technical sections require effort but remain coherent."
Benjamin et al. 2023,open_science,72.0,60.0,85.0,"Preregistration and extensive web appendices. Model and estimation details are replicable. It’s unclear if full code/data are publicly released; MTurk data may have sharing limits. Overall above-average transparency, not exemplary without full artifacts."
Benjamin et al. 2023,global_relevance,78.0,68.0,88.0,SWB measurement is globally relevant for policy and welfare analysis. Methods generalize beyond US MTurk. Applications demonstrate material changes to common findings. External validity of empirical sample is limited; uptake depends on adding CQs to major surveys.
BenYishay et al. 2024,overall,85.0,75.0,92.0,"Large-N, 20-year staggered rollout with TWFE and modern estimators; integrates satellites, DHS, and ACLED; clear, policy-relevant results with distributional nuance. Some limitations: observational design, potential unobserved shocks, partial data sharing on interventions."
