paper,tier_kind,score,lo,hi,rationale
Banerjee et al 2022,tier_should,4.7,4.3,4.9,"Methodologically innovative with substantial applied impact; suitable for a top field or general-interest economics journal. Strong theory, simulations, and policy experiment integration."
Banerjee et al 2022,tier_will,4.5,4.0,4.8,"Given authors and quality, likely in a top field or marginal general-interest journal. Some journals may be cautious about assumptions or niche method; still strong placement odds."
Banerjee et al. 2022,tier_should,4.4,4.0,4.8,Deserves a top field or marginal top general outlet given methodological novelty and applied importance. Could fit top econometrics/AEJ Applied/AEJ Policy or general interest if framed broadly.
Banerjee et al. 2022,tier_will,4.2,3.8,4.6,Likely in a top field or marginal A-journal. Methodological complexity and niche assumptions may reduce chances at very top general journals despite strong team and policy relevance.
Banerjee et al. 2023,tier_should,4.6,4.2,4.9,"Merits a top general-interest or top field econ journal: originality, scale, policy importance, and methodological rigor. Early horizon caveat slightly tempers maximum score."
Banerjee et al. 2023,tier_will,4.3,3.8,4.7,"Highly publishable in a top field or marginal general-interest journal. Real-world frictions (crowded UBI/cash transfer literature, early-wave timing) may shift from A-journal to top field."
Barberio et al. 2022,tier_should,3.9,3.5,4.3,"Merits a top field or marginal A-journal in health economics/operations/policy due to rigor, novelty, and policy salience; some methodological simplifications and lack of code limit top-tier general appeal."
Barberio et al. 2022,tier_will,3.4,3.0,3.8,Likely outcome is strong field journal or policy-oriented outlet. The niche (finance-meets-vaccines) and modeling assumptions may steer it away from top general journals despite NBER branding and relevance.
Barker et al. 2021,tier_should,4.3,3.8,4.7,"Merits a top field journal in development/applied econ or marginal general-interest given methodological rigor and policy importance, despite short horizon. Strength of design and contribution to global mental health/human capital justify 4+; limited long-run outcomes cap it below 5."
Barker et al. 2021,tier_will,4.0,3.3,4.6,"Likely placement in strong/top field journal (e.g., AEJ Applied, EJ, Restud field) given authors and results; general-interest acceptance is plausible but less certain due to short-term outcomes and self-reports. Real-world review variance yields wider interval."
Benabou et al. 2023,tier_should,4.3,3.9,4.7,"Innovative, rigorous, and influential within behavioral/experimental econ and moral decision-making; merits top field/marginal general interest placement (e.g., top field or marginal A-journal). Strength of design and contribution justify high tier."
Benabou et al. 2023,tier_will,3.8,3.3,4.3,Likely outcome is a strong top field journal in econ or interdisciplinary high-impact outlet. General-interest econ journals are possible but uncertain given niche and external validity debates; acceptance chances slightly lower than merit.
Benjamin et al. 2023,tier_should,4.4,3.9,4.9,Conceptually and methodologically strong with broad implications for SWB research; suitable for top field or marginal general-interest journal given rigor and policy relevance.
Benjamin et al. 2023,tier_will,4.0,3.4,4.5,"Likely placement in a top field journal (e.g., metrics/applied micro/well-being) or AEJ; general journals possible but uncertain due to niche focus and MTurk-based empirical illustration."
BenYishay et al. 2024,tier_should,3.8,3.3,4.3,"Strong applied development/climate resilience contribution with rigorous quasi-experimental design and high policy relevance. Fits top field or marginal A-journal in development, environment, or interdisciplinary policy venues."
BenYishay et al. 2024,tier_will,3.5,3.0,4.0,"Interdisciplinary, policy-oriented with non-experimental design; likely placed in strong field or marginal A-style interdisciplinary journal. Real-world editorial preferences and data-access constraints may nudge away from top general journals."
Bergeron et al. 2024,tier_should,4.2,3.8,4.6,"Conceptually innovative with broad relevance and solid empirical support, suitable for a top field or marginal general-interest journal. Causal identification limits likely keep it below absolute top general outlets."
Bergeron et al. 2024,tier_will,4.0,3.5,4.4,"Given authorship, NBER placement, and appetite for theory-guided empirics, likely outcome is a strong top field or marginal A-journal. Real-world preferences for causal designs may temper placement at top general journals."
Bettle 2023,tier_should,3.0,2.6,3.6,Strong field contribution as a methodological/practice note; best fit is a top B or marginal A field journal in evaluation/development methods or evidence synthesis. Practical impact outweighs novelty; solid but not groundbreaking.
Bettle 2023,tier_will,2.2,1.6,2.8,"As an institutional report, more likely to remain as grey literature or a working paper; if submitted, likely a decent field journal or methods note outlet. Limited original data and validation reduce publishability in higher-tier journals."
Bhat et al. 2022,tier_should,4.3,3.9,4.7,"Should place in a top field/marginal general-interest venue given methodological rigor, novelty, and policy relevance (e.g., AEJ: Applied, RESTUD/AEJ-level field; possible AER Insights)."
Bhat et al. 2022,tier_will,3.8,3.3,4.3,Likely outcome is a strong/top field journal in applied micro/development or health economics. General-interest acceptance possible but less likely given null economic outcomes and subfield focus.
Bhattacharya and Packalen 2020,tier_should,3.2,2.8,3.8,"Best fit is a strong field/top field outlet in science policy/econ of science/innovation studies. Conceptually influential, policy-relevant, but empirical rigor short of A-journal standards."
Bhattacharya and Packalen 2020,tier_will,2.9,2.4,3.4,"Likely placement in a solid field journal or interdisciplinary policy journal. Without stronger causal evidence or novel data, A-journal odds are moderate."
Bilal and Kaenzig 2024,tier_should,4.8,4.4,5.0,Methodologically rigorous with major contribution and policy relevance; fits a top general-interest econ journal or top field in environmental/macro. Small identification/extrapolation uncertainties keep it slightly below certain 5/5.
Bilal and Kaenzig 2024,tier_will,4.7,4.2,5.0,"High-profile authors and timely topic; strong chance at AER/QJE/REStud or Science/Nature in policy-adjacent outlet, otherwise top field (AEJ Applied/Ecma field). Real-world review frictions and controversy may slightly lower odds."
Blimpo and Castaneda-Dower 2025,tier_should,4.1,3.7,4.5,"Strong, policy-relevant RCT with credible identification and novel insights; suitable for top field journals in development/public finance (e.g., JDE, AEJ: Applied). Data limitations and single setting likely hold it back from top general journals."
Blimpo and Castaneda-Dower 2025,tier_will,3.8,3.3,4.2,"Likely placement in top B or marginal A field journal given solid design and timely topic, but modest sample, missing data on a key outcome, and mechanism ambiguity may reduce odds at the very top of field."
Bruers 2021,tier_should,2.8,2.2,3.4,"Deserves a solid field outlet in environmental/food/animal welfare economics or interdisciplinary ethics-policy journal given novelty and careful caveats, despite empirical fragility. With stronger design or shared data/code, could reach top field; as-is, strong B-journal level."
Bruers 2021,tier_will,2.3,1.8,2.9,"Given methodological controversy (hypothetical bias, outliers) and regional sample, more likely in a decent field or interdisciplinary applied journal than a top field venue. Acceptance will hinge on reviewers’ tolerance for stated-preference limitations."
Buntaine et al. 2023,tier_should,4.4,3.8,4.9,"Merits a top field or marginal general journal: novel, rigorous, impactful with GE evidence. Could fit AEJ Applied, QJE/AER fringe depending on editorial fit."
Buntaine et al. 2023,tier_will,4.2,3.6,4.7,Likely outcome is a top field or marginal A-journal given topic and methods; general journal acceptance possible but uncertain due to scope and context-specificity.
Carson et al. 2023,tier_should,4.2,3.6,4.6,"Merits a top field or marginal A-journal (e.g., strong management science/science policy outlets) given methodological rigor and policy relevance; slightly short of top general journals due to simulated setting and absent causal impact on outcomes."
Carson et al. 2023,tier_will,3.8,3.2,4.3,Likely placement in top field/strong management or policy journal; could land marginal A depending on reviewer appetite for simulation-based evidence and response-rate concerns. Less likely in top general journals without outcome validation.
Caviola et al. 2022,tier_should,4.2,3.8,4.6,"Top-field cognitive science/psychology article: strong design, substantial contribution, and rigorous open science. Not general-interest breakthrough, but clearly merits a top field venue."
Caviola et al. 2022,tier_will,4.1,3.7,4.5,"Given topic niche and rigorous execution, likely in a top field journal rather than generalist flagship. Real-world frictions (niche audience, philosophy-psych crossover) slightly reduce expected tier."
Chuard et al. 2022,tier_should,4.1,3.6,4.5,"Strong, policy-relevant empirical paper with methodological comparison; fits top field journals (health econ, demography, applied micro, epidemiology-policy interface). Minor data limitations preclude general journals but merits marginal A/top field."
Chuard et al. 2022,tier_will,3.7,3.2,4.1,"Likely placement in top field or strong field journal (e.g., Journal of Health Economics, Demography, AEJ: Policy tier borderline). Real-world processes and interdisciplinary fit may nudge to top B/upper field rather than general-interest A."
Clancy 2024,tier_should,3.9,3.5,4.3,"Should place in a top field or strong interdisciplinary policy journal (e.g., science policy/econ of innovation). Novel integration, clarity, and decision relevance justify near–A-field placement despite reliance on forecasts and modeling assumptions."
Clancy 2024,tier_will,2.8,2.3,3.3,"As an institutional report, more likely to appear as a working paper or field journal piece than top field. Real-world publication often favors empirical identification; niche audience and normative assumptions may reduce placement ceiling."
Crawfurd et al. 2023,tier_should,3.8,3.2,4.3,"Merits a top field journal in development, environmental health, or education policy. Strong policy contribution with solid methodology and novelty in linking lead to standardized learning outcomes and simulations."
Crawfurd et al. 2023,tier_will,3.1,2.5,3.7,"Given observational base and methodological re-expression limitations, more likely in strong field journal or policy-oriented outlet. Could place higher with added causal evidence or shared replication package."
Denkenberger et al. 2022,tier_should,3.2,2.7,3.8,Strong field contribution in disaster risk reduction/EA policy analysis with practical implications and transparent uncertainty discussion; methodological weaknesses and speculative priors keep it below top-tier. Best fit is a strong field journal oriented to risk/disaster policy.
Denkenberger et al. 2022,tier_will,3.1,2.6,3.6,"Given topic niche, interdisciplinary nature, and subjective components, likely placement is a solid field journal in disaster risk or risk analysis. Visibility aided by relevance; skepticism about priors may limit acceptance at top outlets."
Dullaghan and Zhang 2022,tier_should,3.1,2.5,3.8,"Merits a strong field journal in food systems/technology policy/animal welfare due to clarity, decision-relevance, and transparency despite modest methods. Not top-field without stronger empirical basis or validated modeling."
Dullaghan and Zhang 2022,tier_will,2.2,1.6,2.8,Likely to remain as high-quality grey literature or be publishable in a decent field/applied journal. Forecasting plus EA focus and small-N panel may limit reception at top outlets.
Epperson and Gerster 2024,tier_should,4.1,3.6,4.5,"Merits a top field journal in behavioral/experimental/applied micro due to novel identification, lab-field link, and policy import. Slight scope/EV limits may keep it just below top general journals."
Epperson and Gerster 2024,tier_will,3.6,3.0,4.2,Likely placement in strong field journal (experimental/behavioral/applied econ) or marginal A-journal if editor values lab-field link. Real-world constraints and student sample may reduce odds of top-tier general outlet.
Fangwa et al. 2023,tier_should,4.2,3.8,4.6,"Warrants a top field or marginal general-interest outlet in development/health/management due to strong design, clear findings, and policy relevance. Not fully top-general as mechanisms are bundled and external validity limited."
Fangwa et al. 2023,tier_will,3.8,3.3,4.3,"Likely to place in a strong field journal (e.g., health economics/management/development). Real-world frictions, data access limits, and bundled treatment may reduce odds of top general placement."
Frech et al. 2023,tier_should,3.4,3.0,4.0,"Belongs in a strong health economics/industrial organization field journal; theory-to-policy bridge with useful quantification. Not top general-interest due to descriptive identification and reliance on simplifying assumptions, but solid for a top field outlet."
Frech et al. 2023,tier_will,3.2,2.6,3.8,Likely placement in a strong or top field journal in health econ/policy or IO; could also be a high-quality policy journal. Real-world frictions and mixed reviewer preferences on assumptions may pull it toward top B/strong field range.
Green et al. 2025,tier_should,4.2,3.6,4.7,Methodologically strong meta-analysis with high policy relevance and open science. Suitable for a top field journal in nutrition/behavioral science or marginal general-interest journal focused on sustainability/public health.
Green et al. 2025,tier_will,3.8,3.2,4.3,"Likely placement in a strong field outlet (e.g., top B/marginal A in nutrition, behavioral medicine, or environmental psych). Chance of higher if framed for sustainability or public health audiences; some outlets may prefer larger effects."
Hahn et al. 2025,tier_should,4.5,4.2,4.9,"Should place in a top field or marginal general-interest journal given methodological innovation and broad policy relevance (e.g., JPubE, AEJ:AP/EP; possibly AER/QJE/RESTUD depending on editorial fit)."
Hahn et al. 2025,tier_will,4.2,3.8,4.6,"Likely in a top field or AEJ given policy orientation and synthesis nature; general journals possible but uncertain. Author reputations increase odds, yet scope may steer to JPubE/AEJ:EP/AEJ:AP or REStat."
Haushofer et al. 2020,tier_should,4.2,3.8,4.6,"Merits a top field or marginal general-interest outlet given rigor, scale, and policy relevance. Strong design and insights for development/mental health economics."
Haushofer et al. 2020,tier_will,3.8,3.3,4.3,"Likely in a strong/top field journal (e.g., development/applied). General-interest acceptance possible but less likely given topic niche and null psychotherapy results."
Hill et al. 2024,tier_should,4.6,4.2,4.9,"Quality and breadth warrant top field or marginal general science journal (e.g., Science/Nature Human Behaviour/PNAS/Management Science). Novel metric plus multi-domain evidence and policy relevance justify near A-journal placement."
Hill et al. 2024,tier_will,4.4,3.9,4.8,"Realistic outcome is a top field or selective general-interest venue. Potential reviewer skepticism about measurement and causality, plus data access constraints, could steer to top field if not general."
Jack et al. 2022,tier_should,4.3,3.8,4.7,"Should place in top field/marginal general-interest given policy relevance, rigorous RCT, and novel PES design insights. AEJ Applied/JEEM/JDE or comparable; conceivable at AER/Science-style policy venues but less likely."
Jack et al. 2022,tier_will,4.1,3.6,4.5,"Likely outcome is a top field or marginal A-journal in development/environment/applied micro. Real-world frictions (niche topic, satellite methods) may reduce odds at top general journals but strong fit for AEJ Applied, JPubE, JEEM."
Jaroszewicz et al. 2024,tier_should,4.2,3.8,4.6,"Methodologically rigorous, policy-relevant, and conceptually novel; suitable for top field/marginal general-interest outlet (e.g., AEJ Applied, AER Insights, JPubE). Strength is in careful nulls and mechanism; may be a stretch for very top general journals."
Jaroszewicz et al. 2024,tier_will,4.0,3.5,4.4,High chance of strong field/top field placement; pandemic-era and null/negative findings may face mixed editorial tastes at elite general journals. Solid odds at AEJ Applied/AER Insights/JPubE-type venues.
Kirkland et al. 2023,tier_should,3.8,3.4,4.2,"Strong, rigorous cross-national study with preregistration and clear contribution to social/personality science; suitable for a top field journal or marginal A-journal given scope and novelty despite correlational limits."
Kirkland et al. 2023,tier_will,3.6,3.2,4.0,"Likely placement in a strong field journal in social/personality or cross-cultural psychology. Real-world factors (student samples, correlational design, partial data openness) may cap at top B/marginal A tier."
Kremer et al. 2020,tier_should,3.9,3.4,4.4,"As a full-length article, merits a top field or marginal general-interest outlet for policy design impact; as a note, strong field venues fit. High relevance and clarity, modest methodological depth."
Kremer et al. 2020,tier_will,3.6,3.2,4.0,Likely placement in strong field venues or invited short-format outlets. Prominent authorship and policy relevance help; limited methods depth reduces odds of top general journals.
Kremer et al. 2022,tier_should,4.4,3.9,4.9,Merits publication in a top field journal in global health/development or marginal general-interest due to methodological rigor and policy significance. Strong synthesis plus CE modeling advances practice.
Kremer et al. 2022,tier_will,4.2,3.6,4.7,"Likely placement in a top field outlet (e.g., global health, development economics/public health). Real-world frictions (interdisciplinary scope, debates on WASH impacts) slightly reduce odds of top general journal."
Kubo et al. 2023,tier_should,3.9,3.4,4.3,Strong field contribution with rigorous causal inference and clear policy relevance. Best fit is a top field journal in conservation/policy or a marginal A-journal. Novelty and robustness justify upper-tier field placement.
Kubo et al. 2023,tier_will,3.5,3.0,4.0,"Likely outcome is top B or strong field journal. Constraints: single-country setting, one platform, short post period, and substitute selection issues may temper placement in marginal A-journals."
Kudymowa et al. 2023,tier_should,3.3,2.8,3.8,Strong field-level methodological/practice review with clear recommendations and careful reasoning. Moderate originality and limited empirical validation constrain it below top field journals.
Kudymowa et al. 2023,tier_will,2.6,2.0,3.2,"Commissioned report format and niche audience make journal publication less likely; if submitted, a decent field or policy B-journal is plausible. More empirical work would raise publishability."
Liang et al. 2021,tier_should,4.4,4.0,4.8,"Merits a top field or marginal general-interest outlet given novel data integration, credible causal designs, and policy salience. AEJ: Applied, JEEA, or PNAS-level suitability; stretch to AER Insights possible."
Liang et al. 2021,tier_will,4.1,3.6,4.6,"Likely placement in strong top field/marginal A outlet in environmental/applied econ. Real-world factors (topic breadth, replication packaging) may steer away from top general journal but remain high-tier."
Liang et al. 2025,tier_should,4.4,4.0,4.8,"Methodologically rigorous, policy-relevant, and novel contribution suitable for a top field journal in applied/development/health econ; with its breadth and robustness, could contend at marginal A-general outlets."
Liang et al. 2025,tier_will,4.1,3.6,4.5,"Likely placement in a top field or marginal A-field journal given strength and topic; A-general possible but competitive. Real-world frictions (data access, niche focus) may tilt toward top field."
McGuire et al. 2024,tier_should,4.1,3.6,4.6,"Methodologically rigorous applied research with field importance; suitable for a top field journal in global health/econ/dev or a marginal A-journal. Novel integration of WELLBY CEA, though some methods (weights/spillovers) are debated."
McGuire et al. 2024,tier_will,3.3,2.7,3.9,"As an institute report, likely to appear as a strong field journal or methods-focused outlet if submitted; potential barriers include non-traditional format, proprietary elements, and audience targeting donors rather than academics."
Naidu et al. 2023,tier_should,4.5,4.0,4.9,"Merits top field/marginal general-interest placement given originality, rigor, and policy import. Strong empirical design with novel insights on non-pecuniary costs and intermediation in migration."
Naidu et al. 2023,tier_will,4.2,3.6,4.7,"Likely top field (e.g., dev/labor) or marginal A-journal given topic and authors; general-interest acceptance uncertain due to niche corridor and attrition caveats, but still strong market."
Peterman et al. 2025,tier_should,4.2,3.8,4.6,"Methodologically rigorous, policy-relevant meta-analysis with large scope fits top field journals in development/social policy or marginal general-interest policy outlets. Heterogeneity and limited moderator traction keep it short of top general journals but merits a top field venue."
Peterman et al. 2025,tier_will,3.6,3.2,4.2,"Most likely in strong field journal (e.g., development, social policy, global health policy). General journals are possible but less likely given modest effect sizes and heterogeneity. Solid chance at top field; fallback to top B/strong field if space or scope constraints arise."
Salazar and Restrepo 2024,tier_should,4.1,3.6,4.6,"Strong field-leading contribution at intersection of environmental, trade, and development. With tightened robustness and data/code release, fits top field (e.g., JEEM, JDE, AEJ:Applied/Policy—borderline). Novelty and policy import justify high tier."
Salazar and Restrepo 2024,tier_will,3.8,3.2,4.3,"Given preliminary status and modeling assumptions, likely placement in strong field or top field environmental/development journal. With revisions, could reach marginal A-field; absent, a top B/strong field outcome is plausible."
Schoenegger et al. 2025,tier_should,3.8,3.3,4.2,"Strong field contribution at the HCI/human-AI interface with solid methods and practical import. Appropriate for a top field journal or marginal A-journal given novelty and rigor, tempered by control design and outlier sensitivity."
Schoenegger et al. 2025,tier_will,3.6,3.0,4.0,Likely placement in a strong field journal in HCI/AI-interaction or applied computational social science. Real-world processes and mixed findings on heterogeneity make top-general outlets less likely but top field plausible.
Schuett et al. 2023,tier_should,3.8,3.3,4.2,"Merits a top field or marginal A journal in AI policy/ethics/technology governance due to rigor, openness, and policy relevance, despite methodological limits. Strong candidate for journals focused on AI governance or tech policy with empirical content."
Schuett et al. 2023,tier_will,3.4,3.0,3.9,"Likely outcome is a strong field journal or top B outlet in AI ethics/governance. Constraints: small N, purposive sample, descriptive scope may limit reception in top general venues; policy relevance could raise placement in specialized journals."
Trammel and Aschenbrenner 2025,tier_should,4.2,3.6,4.7,"Merits a top field or marginal general-interest outlet: novel, rigorous, and policy-relevant theory in growth/x-risk. Could fit AEJ: Macro/Policy or JEG-type top field; a stretch but plausible at AER: Insights-style venues."
Trammel and Aschenbrenner 2025,tier_will,3.9,3.3,4.4,Likely at strong top field given topic’s interdisciplinarity and theoretical focus without empirical calibration. General journals possible but uncertain due to niche and calibration gaps; AER: Insights/REStat shorter pieces possible.
Walker et al. 2023,tier_should,4.3,3.8,4.7,"Strong, policy-relevant RCT evidence with novel intergenerational mortality outcome merits top field or marginal general-interest outlet (e.g., AEJ Applied, JDE, AER Insights, PNAS). Limits on mediation and measurement prevent clear top-5 general outlet."
Walker et al. 2023,tier_will,4.1,3.6,4.5,"Given author team and topic salience, likely in a top field or marginal A-level outlet. Debate around deworming and reporting/mediation limitations may temper chances at top general journals."
Weaver et al. 2025,tier_should,4.4,4.0,4.8,"Merits a top field/marginal A-journal (e.g., AEJ Applied, JDE, EJ, or possibly AER/RESTUD fringe) given scale, methods, and policy contribution. Null anthropometric averages temper general-interest appeal but sanitation heterogeneity and functional gains are significant."
Weaver et al. 2025,tier_will,4.2,3.8,4.6,Likely placement in a top field or marginal general-interest outlet. Author team and policy relevance increase odds; COVID-related data gaps and average nulls on primary anthropometrics may steer away from very top general journals.
Williams et al. 2024,tier_should,4.6,4.2,4.9,"Interdisciplinary, globally relevant advance with strong empirical basis and clear policy implications merits a marginal A-journal or top field journal. Small methodological caveats and partial openness modestly constrain ceiling."
Williams et al. 2024,tier_will,4.3,3.8,4.7,"Likely placement in top field (e.g., conservation/global change) or marginal A-journal given broad interest and policy salience; acceptance sensitive to reviewer views on stationarity, leakage/additionality, and mixed-resolution inputs."
Xing et al. 2023,tier_should,4.3,3.8,4.7,"Merits a top field/marginal general-interest econ outlet given methodological rigor, novelty, and policy relevance. Could fit AEJ: Applied, JPubE, JEEM, or top urban/environmental journals; with sharpening of identification and OS materials, could stretch to a general journal."
Xing et al. 2023,tier_will,3.9,3.3,4.4,"Likely outcome is a strong top field or marginal A journal in environmental/urban/applied micro (e.g., JEEM, AEJ: Applied, Journal of Urban Economics). General journals possible but less likely given scope and data limitations."
