label_paper_title,status,research_url,doi,main_cause_cat,main_cause_cat_abbrev,secondary_cause_cat,publication_status,working_paper_release_date,topic_subfield,source_main
A happy probability about happiness (and other) scales: an exploration and tentative defence of the cardinality assumption.,901_PQ_candidate_eval,https://wellbeing.hmc.ox.ac.uk/wp-content/uploads/2024/02/2401-WP-A-Happy-Probability-DOI.pdf,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
new paper again,,www.cnn.com,,,,,,,,
New paper,,cnn.vom,,,,,,,,
"Assessing Cross-Price Effects of Meat Alternatives on Beef, Pork, and Chicken Retail Demand in 2022",901_PQ_candidate_eval,https://ag.purdue.edu/cfdas/wp-content/uploads/2023/06/CA1378_061523_Price-Impact-of-Meat-Alternatives-on-Meat-Demand_USDAApproved_logo-added-2.pdf,,,,,,,,
Are Plant-Based Analogues Replacing Cow’s Milk in the American Diet?,,,,,,,,,,
,901_PQ_candidate_eval,,,,,,,,,
,,,,,,,,,,
The Short-Term Effects of Generative Artificial Intelligence on Employment: Evidence from an Online Labor Market,01_Needs prioritization/assessor rating,https://www.ifo.de/DocDL/cesifo1_wp10601.pdf,,Innovation and Meta Science,,,"Published, uncertain peer review",,economics,
Technological Disruption in the labor market,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w33323,10.3386/w33323,Innovation and Meta Science,,,"Working paper/mimeo, not published",,Economics,
THE GLOBAL EFFECTS OF CARBON BORDER ADJUSTMENT MECHANISMS,01_Needs prioritization/assessor rating,https://www.nber.org/system/files/working_papers/w33723/w33723.pdf,10.3386/w33723,Environmental Economics,,,"Working paper/mimeo, not published",,,
Satellites and Fines: Using Monitoring to Target Inspections of Deforestation,deprioritized -- low ratings/voting,https://dl.dropboxusercontent.com/scl/fi/eyr9hy49ilrhdmqd7gfyf/2024-Alipio-Ferreira-JMP-Monitoring-and-deforestation.pdf?rlkey=uabugcqxgr9nlnwowzltqnh9v&dl=0,,Environmental Economics,,,"Working paper/mimeo, not published",,,
EMPIRICALLY DISTINGUISHING HEALTH IMPACTS OF TRANSBOUNDARY AND DOMESTIC AIR POLLUTION IN MIXTURE,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w33379,10.3386/w33379,"GH&D,'Health-Related' Outcomes and Interventions in LMIC",,,"Working paper/mimeo, not published",,,
Fallout and Fertility: Chernobyl's Legacy and the Role of Compliance with Public Protection Measures,01_Needs prioritization/assessor rating,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4922433,,"Catastrophic Risks,AI Governance & Safety",,,"Working paper/mimeo, not published",,,
Deforestation and structural change: The case of tourism in Brazil,deprioritized -- low ratings/voting,https://mlinsenmeier.com/assets/files/Linsenmeier_Deforestation_Tourism_Brazil.pdf,,Environmental Economics,,,"Working paper/mimeo, not published",,,
"Mass Reproducibility and Replicability:
A New Hope",01_Needs prioritization/assessor rating,https://www.econstor.eu/bitstream/10419/289437/1/I4R-DP107.pdf,,Innovation and Meta Science,,,"Working paper/mimeo, not published",,,
Accessing Inclusive Well-being to Leave No One Behind,01_Needs prioritization/assessor rating,https://ophi.org.uk/Publications/WP-147,,Development Economics,,,"Working paper/mimeo, not published",,,
Observational price variation in scanner data cannot reproduce experimental price elasticities,10_seeking_(more)_evaluators,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4899765,https://doi.org/10.2139/ssrn.4899765,Economics (Other),,,R&R at ~top/decent journal,,"Industrial organization,quantitative marketing. Relevant to animal welfare",
The urban mortality consequences of rainfall and sea level rise,deprioritized -- low ratings/voting,https://www.dropbox.com/scl/fi/gogp3jj5sc9kn5k1gsn4b/MANUSCRIPT.pdf?rlkey=13lrgosek2d4ft0dea1qvcgfj&e=1&st=ebql2yn7&dl=0,,Environmental Economics,,,"Working paper/mimeo, not published",,,
Fragile Aid: Development Cooperation in Weak States and Conflict Contexts,01_Needs prioritization/assessor rating,https://fdslive.oup.com/www.oup.com/academic/pdf/openaccess/9780198960287.pdf,,Development Economics,,,Book chapter,,Governance/Aid,
Drivers of Inflation in the Caucasus and Central Asia,01_Needs prioritization/assessor rating,https://www.elibrary.imf.org/view/journals/001/2025/003/001.2025.issue-003-en.xml,https://doi.org/10.5089/9798400296031.001,Development Economics,,,"Working paper/mimeo, not published",,Post-Soviet Economics/Monetary Policy/Central Asian Economics,
"TimeChamber Theory: A Lattice-Based Framework for Emergent Time, Space, and Universal Coherence",deprioritized -- out of scope or other subjective judgment or managerial concern,,https://osf.io/xpztm/,,,,,,"Coherence-Driven Foundations of Mass,Gravity,and Time: A Unified Physical Framework Without Force-Carriers or Extra Dimensions",
Improving Public Sector Management at Scale? Experimental Evidence on School Governance in India,01_Needs prioritization/assessor rating,https://econweb.ucsd.edu/~kamurali/papers/Working%20Papers/MPSQA%20(Current%20WP).pdf,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2024-08-31T00:00:00.000-04:00,,
Does Peer Review Penalize Scientific Risk Taking? Evidence from NIH Grant Renewals,01_Needs prioritization/assessor rating,https://www.nber.org/papers/w33495,,"Innovation, meta-science, and research",Innovation & meta-science,,Working paper/mimeo; not published in a peer-reviewed journal,,,
Ideological Bias in Estimates of the Impact of Immigration,02_final consideration needed,https://www.nber.org/papers/w33274,,"Innovation, meta-science, and research",Innovation & meta-science,,,,,
"Artificial Intelligence, Scientific Discovery, and Product Innovation [NOTE MIT conduct issue!]",deprioritized -- out of scope or other subjective judgment or managerial concern,https://arxiv.org/abs/2412.17866,,"Innovation, meta-science, and research",Innovation & meta-science,,Working paper/mimeo; not published in a peer-reviewed journal,,,
A Formal Counterexample to the Hodge Conjecture via Möbius K3 Surfaces,deprioritized -- out of scope or other subjective judgment or managerial concern,,https://doi.org/10.5281/zenodo.15267235,"Other: Theory and philosophy, artificial intelligence, natural science, etc.","Other: Theory, etc. ",,,,"algebraic geometry,cohomology,formal verification,logic,foundations of mathematics",
Impact matters for giving at checkout,02_final consideration needed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4711399,,"Other: Economics/welfare, growth, policy, global markets and population","Econ., welfare, misc.",,"Working paper/mimeo, not published",,Charitable giving,
Evaluating Frontier Models for Dangerous Capabilities,02_final consideration needed,https://arxiv.org/abs/2403.13793,https://arxiv.org/abs/2403.13793,"Catastrophic Risks,AI Governance & Safety","Catastrophic & X-risk, LT, forecasting",,"Working paper/mimeo, not published",,,
Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,deprioritized -- low ratings/voting,https://openreview.net/forum?id=M23dTGWCZy,,"Innovation, meta-science, and research",Innovation & meta-science,,Working paper/mimeo; not published in a peer-reviewed journal,,,
Toward an Evaluation Science for Generative AI Systems,02_final consideration needed,https://arxiv.org/abs/2503.05336,https://doi.org/10.48550/arXiv.2503.05336,"Catastrophic Risks,AI Governance & Safety","Catastrophic & X-risk, LT, forecasting",,"Working paper/mimeo, not published",,,
"AGI, Governments, and Free Societies",02_final consideration needed,https://arxiv.org/abs/2503.05710,https://doi.org/10.48550/arXiv.2503.05710,,"Catastrophic & X-risk, LT, forecasting",,"Working paper/mimeo, not published",,,
The Toxic Truth: Children’s Exposure to Lead Pollution Undermines a Generation of Future Potential,02_final consideration needed,https://saruna.mnu.edu.mv/items/f7b85351-7e8b-4d4c-b14b-ddc6a879f4e2,,Global health; “Health & well-being in low-income countries”,Global health (LMICs),,"Working paper/mimeo, not published",,Environment,
The Cybernetic Teammate,02_final consideration needed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5188231,http://dx.doi.org/10.2139/ssrn.5188231,"Innovation, meta-science, and research",,,"Working paper/mimeo, not published",,,
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,20_awaiting_evaluations,https://www.researchgate.net/publication/378199084_Irrigation_strengthens_climate_resilience_Long-term_evidence_from_Mali_using_satellites_and_surveys,,Development Economics,,,Published in a journal (unsure about the journal positioning) ,,agricultural economics of development,
"Does Q&A Boost Engagement?
Health Messaging Experiments in the U.S. and Ghana",01_Needs prioritization/assessor rating,https://www.nber.org/system/files/working_papers/w33294/w33294.pdf,,Global health; “Health & well-being in low-income countries”,Global health (LMICs),,"Working paper/mimeo, not published",,,
"Improving Public Sector Management at Scale?
Experimental Evidence on School Governance in India",01_Needs prioritization/assessor rating,https://econweb.ucsd.edu/~kamurali/papers/Working%20Papers/MPSQA%20(Current%20WP).pdf,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,"Working paper/mimeo, not published",,Education,
Cash Transfers for Child Development: Experimental Evidence from India,10_seeking_(more)_evaluators,https://www.nber.org/papers/w32093,https://doi.org/10.3386/w32093,"GH&D,'Health-Related' Outcomes and Interventions in LMIC",Global health (LMICs),,"Working paper/mimeo, not published",2024-01-01T00:00:00.000-05:00,,
Outcomes-based incentives for education programming: Evidence from a development impact bond in India,01_Needs prioritization/assessor rating,https://drive.google.com/file/d/1j-w9rPpePtNz-wfJoOUysE3JHLcMwu6G/view,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2022-09-10T00:00:00.000-04:00,,suggested - externally - NGO
Pedaling towards Prosperity: The Impact of Bicycle Distribution on Rural Livelihoods in Zambia,01_Needs prioritization/assessor rating,https://drive.google.com/file/d/1j-w9rPpePtNz-wfJoOUysE3JHLcMwu6G/view,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2024-09-16T00:00:00.000-04:00,,suggested - externally - NGO
Can poverty graduation programs make poor households more resilient during shocks? Evidence from Kenya and Uganda during COVID-19,01_Needs prioritization/assessor rating,https://drive.google.com/file/d/1j-w9rPpePtNz-wfJoOUysE3JHLcMwu6G/view,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,2022-12-01T00:00:00.000-05:00,,
Addressing concerns about sustainability and animal welfare: Investigating consumers' adoption and behavioral intention towards plant‐based eggs,901_PQ_candidate_eval,https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.4398?msockid=34221734af7b6450268a03e8ae866578,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
Estimating the effect of moving meat-free products to the meat aisle on sales of meat and meat-free products: A non-randomised controlled intervention study in a large UK supermarket chain,901_PQ_candidate_eval,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003715,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
"Most plant-based meat alternative buyers also buy meat: an analysis of household demographics, habit formation, and buying behavior among meat alternative buyers",901_PQ_candidate_eval,https://www.nature.com/articles/s41598-022-16996-5,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
Demand for Plant-Based Meat Alternatives and the Role of Habit Formation and Variety Seeking,901_PQ_candidate_eval,https://www.cambridge.org/core/journals/journal-of-agricultural-and-applied-economics/article/demand-for-plantbased-meat-alternatives-and-the-role-of-habit-formation-and-variety-seeking/8DF311C5B1059AAF075786F7B75B7BBE,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
Are Plant-Based Analogues Replacing Cow’s Milk in the American Diet? ,901_PQ_candidate_eval,https://www.cambridge.org/core/journals/journal-of-agricultural-and-applied-economics/article/are-plantbased-analogues-replacing-cows-milk-in-the-american-diet/F78AE2E32B77214BD3D26A060EC70451,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,"published, decent journal ",2025-04-22T00:00:00.000-04:00,,
Substitution patterns and price response for plant-based meat alternatives,901_PQ_candidate_eval,https://pdfs.semanticscholar.org/e53a/8491bdc279b7016742810e0202dddefb6bfe.pdf,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,"Animal welfare,Industrial Organization,Microeconomics",
"Why Are Fewer Grocery Shoppers Buying Meat? Declining
Grocery Sales, Prices, and Cultural Change",901_PQ_candidate_eval,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4867295,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,"Working paper/mimeo, not published",,"Animal welfare,Industrial Organization,Microeconomics",suggested - internally
Technical Report: The Value of Existential Risk Mitigation,20_awaiting_evaluations,https://rethinkpriorities.org/wp-content/uploads/2023/10/WIT-CURVE-5.pdf,,"Catastrophic and existential risks,  the long-term future, forecasting","Catastrophic & X-risk, LT, forecasting",Other Economics/Welfare/Growth,Working paper/mimeo; not published in a peer-reviewed journal,,,
The Economics of Biodiversity Loss,deprioritized -- low ratings/voting,https://www.nber.org/system/files/working_papers/w32678/w32678.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",Environment,,"Working paper/mimeo, not published",,,
The long-run relationship between per capita incomes and population size,deprioritized -- low ratings/voting,https://sites.utexas.edu/pwi/files/2023/08/eden_kuruc_pwisite.pdf,,,"Econ., welfare, misc.",,,,growth; demography; population economics,
"Identifying Emerging Technologies in Research, accompanying online tools
",deprioritized -- low ratings/voting,https://cset.georgetown.edu/publication/identifying-emerging-technologies-in-research/,https://doi.org/10.51593/20240050.,Emerging technologies: social and economic impacts (focus: AI),Social impact of tech/AI,"International conflict, governance, authoritarianism",Working paper/mimeo; not published in a peer-reviewed journal,,,suggested - internally
"How persuasive is AI-generated propaganda? 
",deprioritized -- low ratings/voting,https://academic.oup.com/pnasnexus/article/3/2/pgae034/7610937,https://doi.org/10.1093/pnasnexus/pgae034,Emerging technologies: social and economic impacts (focus: AI),Social impact of tech/AI,"International conflict, governance, authoritarianism","Published, ? journal",,,suggested - internally
"Altruism in governance: Insight from randomized training
","deprioritized bc. of journal-publication status, authors' permission, age, etc.",https://globalprioritiesinstitute.org/wp-content/uploads/Mehmood-Naseer-Chen-Altruism-in-governance-Insight-from-randomized-training.pdf,,"Other: Economics/welfare, growth, policy, global markets and population","Econ., welfare, misc.",,"published, decent journal ",,,
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,"50_published evaluations (on PubPub, by Unjournal)",https://www.happierlivesinstitute.org/wp-content/uploads/2024/11/HLI-The-wellbeing-cost-effectiveness-of-StrongMinds-and-Friendship-Bench-Combining-a-systematic-review-and-meta-analysis-with-charity-related-data-Nov-2024-Update.pdf,,"Health and well-being (global, including wealthy countries)",Global health (LMICs),,Working paper/mimeo; not published in a peer-reviewed journal,,,
A review of GiveWell’s discount rate,10_seeking_(more)_evaluators,https://rethinkpriorities.org/wp-content/uploads/2023/11/Discountrate.pdf,,Empirical methods,"Empirical methods, measurement",,"Working paper/mimeo, not published",,,
Forecasts estimate limited cultured meat production through 2050 (EA forum post),20_awaiting_evaluations,https://forum.effectivealtruism.org/posts/2b9HCjTiFnWM8jkRM/forecasts-estimate-limited-cultured-meat-production-through,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets","Innovation, meta-science, & research",Web page/informal post,,,
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"50_published evaluations (on PubPub, by Unjournal)",https://osf.io/preprints/osf/q6xyr_v4,doi.org/10.31219/osf.io/q6xyr,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",Attitudes & behaviors ,"Working paper/mimeo, not published",,"Meta-analysis,",
Cultured meat: A comparison of techno-economic analyses,901_PQ_candidate_eval,https://forum.effectivealtruism.org/posts/y8jHKDkhPXApHp2gb/cultured-meat-a-comparison-of-techno-economic-analyses,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets","Innovation, meta-science, & research",Web page/informal post,,,
Impact Of Corporate Commitments On Public Attitudes,01_Needs prioritization/assessor rating,https://osf.io/9t7wu,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
The Effects of Exposure to Information about Animal Welfare Reforms on Animal Farming Opposition: A Randomized Experiment ,01_Needs prioritization/assessor rating,https://osf.io/preprints/psyarxiv/p6hbk,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
"Price-, Taste-, and Convenience-Competitive Plant-Based Meat Would Not Currently Replace Meat (~EAF post) ",901_PQ_candidate_eval,https://forum.effectivealtruism.org/posts/iukeBPYNhKcddfFki/price-taste-and-convenience-competitive-plant-based-meat,,Markets for products with large externalities (focus: animal agriculture),"Animal welfare, markets",,,,,
Quantifying Death Valence: A Thermometer Scale to Evaluate Explicit Expectations About One’s Own Mortality,02_final consideration needed,https://www.preprints.org/manuscript/202412.1312/v1,,Empirical methods,"Empirical methods, measurement",,,,death studies in social psychology,
Concentrating Intelligence: Scaling and Market Structure in Artificial Intelligence.,02_final consideration needed,https://www.nber.org/papers/w33139,https://doi.org/10.1093/epolic/eiae057,Emerging technologies: social and economic impacts (focus: AI),Social impact of tech/AI,"Innovation, meta-science, & research","Published, ? journal",2024-11-15T00:00:00.000-05:00,"Industrial Organization,Market Structure and Firm Performance,Innovation and R&D",internal-NBER
Additionality and Asymmetric Information in Environmental Markets: Evidence from Conservation Auctions,"deprioritized bc. of journal-publication status, authors' permission, age, etc.",https://annarusso.github.io/papers/aspelund_russo_crp.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",Environment,,"Working paper/mimeo, not published",,,
Anticipatory Cash Transfers in Climate Disaster Response,02_final consideration needed,https://www.anticipation-hub.org/download/file-3482,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,"Working paper/mimeo, not published",,,
"We Are All in the Same Boat: Cross-Border Spillovers of Climate Shocks Through International Trade and Supply Chain 
",deprioritized -- low ratings/voting,https://www.cesifo.org/DocDL/cesifo1_wp10402.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",Environment,,"Working paper/mimeo, not published",,Climate Change,
Piped water access and child malnutrition: Evidence from developing countries,deprioritized -- low ratings/voting,https://az659834.vo.msecnd.net/eventsairseasiaprod/production-adb-public/9b8b4f81b6f24a0e948af5def9928d29,,Global health; “Health & well-being in low-income countries”,Global health (LMICs),,Unpublished,,,
Long-term Impacts of Growth and Development Monitoring: Evidence from Routine Health Examinations in Early Childhood,10_seeking_(more)_evaluators,https://www.dropbox.com/scl/fi/2winr78tqrpuh8oz8sl7a/Long_term_Impacts_of_Growth_and_Development_Monitoring__Evidence_from_Routine_Health_Examinations_in_Early_Childhood.pdf?rlkey=pp6j40zoyqolj7rimb8u1eutq&dl=0,https://doi.org/10.1016/j.jhealeco.2025.102972,Global health; “Health & well-being in low-income countries”,Global health (LMICs),,"Working paper/mimeo, not published",2025-03-12T00:00:00.000-04:00,Health Economics,
Early Childhood Human Capital Formation at Scale,"deprioritized bc. of journal-publication status, authors' permission, age, etc.",https://az659834.vo.msecnd.net/eventsairseasiaprod/production-adb-public/bae4b1d0b25e48fe87920cc3106440b9,https://doi.org/10.1016/j.jpubeco.2023.105046,"Health and well-being (global, including wealthy countries)",Dev. econ/gov. (LMICs),,"published, decent journal ",,Child Health,
"Access to Information, Technology Adoption and Productivity: Large-Scale Evidence from Agriculture in India 
",02_final consideration needed,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3335542,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,"Working paper/mimeo, not published",,Agricultural Economics,
Global Gains from a Green Energy Transition: Evidence on Coal-Fired Power and Air Quality Dissatisfaction ,03_awaiting authors' consent (if needed) or update,https://azharhsain.github.io/publication/airquality-paper.pdf,,"The Environment: Harm to human health, biodiversity, risks and climate change",Environment,,"Working paper/mimeo, not published",,,
School Attendance Information or Conditional Cash Transfer? Evidence from a Randomized Field Experiment in Rural Bangladesh,01_Needs prioritization/assessor rating,https://az659834.vo.msecnd.net/eventsairseasiaprod/production-adb-public/f2369bb1f82c4771b778c62c4b612b37,,Economic development & governance (LMICs),Dev. econ/gov. (LMICs),,"Working paper/mimeo, not published",,Education,
All Crises Are Unhappy in Their Own Way: The Role of Societal Instability in Shaping the Past,04_selected_choose_evaluation_manager,https://doi.org/10.31235/osf.io/rk4gd,https://doi.org/10.31235/osf.io/rk4gd,"Catastrophic and existential risks,  the long-term future, forecasting","Catastrophic & X-risk, LT, forecasting",,"Working paper/mimeo, not published",,,
"Social resilience to nuclear winter: lessons from the Late Antique Little Ice Age
",01_Needs prioritization/assessor rating,https://www.tandfonline.com/doi/full/10.1080/23779497.2021.1963808#abstract,,"Catastrophic and existential risks,  the long-term future, forecasting","Catastrophic & X-risk, LT, forecasting",,Published in a journal (unsure about the journal positioning) ,,,
